SFarm,Date-Time(Asia/Shanghai),Vel(m/s),Dir(º),T(ºC),Rad(W/m2),Hum(%),P(mbar)
SSPSS-Aikangjinghe,2016-01-07 00:15,2.1,323,-8.3,0,80,969
SSPSS-Aikangjinghe,2016-01-07 00:30,2.1,323,-8.3,0,80,969
SSPSS-Aikangjinghe,2016-01-07 00:45,2.1,323,-8.3,0,80,969
SSPSS-Aikangjinghe,2016-01-07 01:00,2.2,324,-8.3,0,80,969
SSPSS-Aikangjinghe,2016-01-07 01:15,2.2,324,-8.3,0,80,969
SSPSS-Aikangjinghe,2016-01-07 01:30,2.2,324,-8.3,0,80,969
SSPSS-Aikangjinghe,2016-01-07 01:45,2.2,326,-8.3,0,80,969
SSPSS-Aikangjinghe,2016-01-07 02:00,2.2,326,-8.3,0,80,969
SSPSS-Aikangjinghe,2016-01-07 02:15,2.2,326,-8.3,0,80,969
SSPSS-Aikangjinghe,2016-01-07 02:30,2.1,325,-8.4,0,80,969
SSPSS-Aikangjinghe,2016-01-07 02:45,2.1,325,-8.4,0,80,969
SSPSS-Aikangjinghe,2016-01-07 03:00,2.0,327,-8.4,0,80,969
SSPSS-Aikangjinghe,2016-01-07 03:15,1.9,325,-8.5,0,80,969
SSPSS-Aikangjinghe,2016-01-07 03:30,1.8,322,-8.6,0,80,969
SSPSS-Aikangjinghe,2016-01-07 03:45,1.7,320,-8.6,0,80,969
SSPSS-Aikangjinghe,2016-01-07 04:00,1.6,317,-8.6,0,79,969
SSPSS-Aikangjinghe,2016-01-07 04:15,1.6,315,-8.7,0,79,969
SSPSS-Aikangjinghe,2016-01-07 04:30,1.5,312,-8.8,0,79,969
SSPSS-Aikangjinghe,2016-01-07 04:45,1.4,309,-8.8,0,79,969
SSPSS-Aikangjinghe,2016-01-07 05:00,1.4,306,-8.8,0,79,969
SSPSS-Aikangjinghe,2016-01-07 05:15,1.3,302,-8.9,0,79,969
SSPSS-Aikangjinghe,2016-01-07 05:30,1.3,299,-9.0,0,79,969
SSPSS-Aikangjinghe,2016-01-07 05:45,1.1,297,-9.0,0,78,969
SSPSS-Aikangjinghe,2016-01-07 06:00,1.1,292,-9.0,0,78,969
SSPSS-Aikangjinghe,2016-01-07 06:15,1.0,287,-9.1,0,78,969
SSPSS-Aikangjinghe,2016-01-07 06:30,1.0,287,-9.1,0,78,969
SSPSS-Aikangjinghe,2016-01-07 06:45,1.1,280,-9.1,0,77,969
SSPSS-Aikangjinghe,2016-01-07 07:00,1.1,275,-9.1,0,76,969
SSPSS-Aikangjinghe,2016-01-07 07:15,1.1,275,-9.0,0,76,969
SSPSS-Aikangjinghe,2016-01-07 07:30,1.1,275,-9.0,0,76,969
SSPSS-Aikangjinghe,2016-01-07 07:45,1.1,275,-8.9,0,76,969
SSPSS-Aikangjinghe,2016-01-07 08:00,1.1,275,-8.8,0,75,969
SSPSS-Aikangjinghe,2016-01-07 08:15,1.1,280,-8.7,0,75,969
SSPSS-Aikangjinghe,2016-01-07 08:30,1.2,284,-8.6,0,74,969
SSPSS-Aikangjinghe,2016-01-07 08:45,1.3,288,-8.5,0,74,969
SSPSS-Aikangjinghe,2016-01-07 09:00,1.3,293,-8.3,0,74,969
SSPSS-Aikangjinghe,2016-01-07 09:15,1.3,297,-8.2,0,73,969
SSPSS-Aikangjinghe,2016-01-07 09:30,1.4,304,-8.0,0,72,969
SSPSS-Aikangjinghe,2016-01-07 09:45,1.6,305,-7.9,0,72,969
SSPSS-Aikangjinghe,2016-01-07 10:00,1.6,308,-7.7,0,72,969
SSPSS-Aikangjinghe,2016-01-07 10:15,1.8,313,-7.5,12,71,969
SSPSS-Aikangjinghe,2016-01-07 10:30,2.0,315,-7.3,35,71,969
SSPSS-Aikangjinghe,2016-01-07 10:45,2.1,319,-7.1,58,70,969
SSPSS-Aikangjinghe,2016-01-07 11:00,2.3,322,-6.9,81,70,969
SSPSS-Aikangjinghe,2016-01-07 11:15,2.4,325,-6.7,103,70,969
SSPSS-Aikangjinghe,2016-01-07 11:30,2.7,326,-6.5,125,70,969
SSPSS-Aikangjinghe,2016-01-07 11:45,2.9,326,-6.4,147,69,968
SSPSS-Aikangjinghe,2016-01-07 12:00,3.1,328,-6.3,169,68,968
SSPSS-Aikangjinghe,2016-01-07 12:15,3.2,330,-6.1,188,68,968
SSPSS-Aikangjinghe,2016-01-07 12:30,3.4,332,-6.0,204,68,968
SSPSS-Aikangjinghe,2016-01-07 12:45,3.5,331,-5.9,221,68,968
SSPSS-Aikangjinghe,2016-01-07 13:00,3.6,332,-5.8,237,67,968
SSPSS-Aikangjinghe,2016-01-07 13:15,3.8,333,-5.8,255,67,968
SSPSS-Aikangjinghe,2016-01-07 13:30,3.9,333,-5.8,273,67,968
SSPSS-Aikangjinghe,2016-01-07 13:45,4.0,333,-5.8,292,67,968
SSPSS-Aikangjinghe,2016-01-07 14:00,4.1,334,-5.8,311,67,968
SSPSS-Aikangjinghe,2016-01-07 14:15,4.1,334,-5.8,325,67,968
SSPSS-Aikangjinghe,2016-01-07 14:30,4.1,334,-5.9,335,68,968
SSPSS-Aikangjinghe,2016-01-07 14:45,4.2,333,-6.0,345,68,968
SSPSS-Aikangjinghe,2016-01-07 15:00,4.2,333,-6.1,355,68,968
SSPSS-Aikangjinghe,2016-01-07 15:15,4.2,333,-6.2,360,68,968
